Stock,Month,Actual_Closing_Price,Predicted_Closing_Price
HINDZINC.NS,2024-03,292.29998779296875,370.53400054931643
HINDZINC.NS,2024-04,426.95001220703125,391.64500579833987
HINDZINC.NS,2024-05,687.25,605.9175009155274
HINDZINC.NS,2024-06,669.6500244140625,676.8925152587891
HINDZINC.NS,2024-07,646.8499755859375,656.0574871826171
HINDZINC.NS,2024-08,500.75,551.0795037841797
HINDZINC.NS,2024-09,522.5,515.6104986572266
HINDZINC.NS,2024-10,553.2000122070312,551.5410067749024
HINDZINC.NS,2024-11,504.6000061035156,520.0045037841796
HINDZINC.NS,2024-12,510.0,506.45300140380857
ITC.NS,2024-01,441.54998779296875,440.247490234375
ITC.NS,2024-02,406.29998779296875,429.2349935913086
ITC.NS,2024-03,428.3500061035156,429.42150512695315
ITC.NS,2024-04,435.6499938964844,521.2520022583008
ITC.NS,2024-05,426.45001220703125,445.4590060424805
ITC.NS,2024-06,424.8999938964844,476.18299774169924
ITC.NS,2024-07,495.3500061035156,492.61650329589844
ITC.NS,2024-08,501.8999938964844,512.3059982299804
ITC.NS,2024-09,518.1500244140625,511.7595135498047
ITC.NS,2024-10,488.79998779296875,516.7149938964844
ITC.NS,2024-11,476.75,486.12449829101564
ITC.NS,2024-12,471.1499938964844,466.16449676513673
POWERGRID.NS,2024-01,259.29998779296875,252.67924118041992
POWERGRID.NS,2024-02,282.8500061035156,267.8267530822754
POWERGRID.NS,2024-03,276.8999938964844,273.47349731445314
POWERGRID.NS,2024-04,301.8500061035156,294.4050042724609
POWERGRID.NS,2024-05,310.0,321.75725128173826
POWERGRID.NS,2024-06,330.95001220703125,333.03701049804687
POWERGRID.NS,2024-07,348.20001220703125,337.48851013183594
POWERGRID.NS,2024-08,337.3999938964844,368.7305044555664
POWERGRID.NS,2024-09,352.8500061035156,345.59900543212893
POWERGRID.NS,2024-10,320.79998779296875,329.3594921875
POWERGRID.NS,2024-11,329.3999938964844,304.5155026245117
POWERGRID.NS,2024-12,328.8999938964844,322.9374969482422
DRREDDY.NS,2024-01,1224.22998046875,1220.5468798828124
DRREDDY.NS,2024-02,1284.8499755859375,1280.5621838378906
DRREDDY.NS,2024-03,1231.5799560546875,1272.2142932128907
DRREDDY.NS,2024-04,1240.8599853515625,1255.0813916015625
DRREDDY.NS,2024-05,1158.3699951171875,1196.4651953125
DRREDDY.NS,2024-06,1280.469970703125,1233.8544787597657
DRREDDY.NS,2024-07,1350.0999755859375,1354.383582763672
DRREDDY.NS,2024-08,1406.27001953125,1442.5730017089843
DRREDDY.NS,2024-09,1350.3199462890625,1401.8510009765625
DRREDDY.NS,2024-10,1274.199951171875,1302.343995361328
DRREDDY.NS,2024-11,1202.300048828125,1204.4590258789062
DRREDDY.NS,2024-12,1253.699951171875,1240.6224731445313
HDFCLIFE.NS,2024-01,576.5999755859375,614.1999786376953
